"Key","Session","Route","EventStamp","MessageStamp","InCurrentLog","CheckedOn","IsGenuineLogLine","Matched","Line"
"uuid:59bd1489-e2bb-410d-b280-63c48f69bb18","77eb5960-340a-4f5e-b26b-5d4fecb4a224.jsonl","tool-result","2026-07-29 21:11:10","07/30/2026 08:43:08","yes","2026-08-21","yes","^Watcher done \(","2026-07-29 21:11:10  shortcut-warnings-stage2  Watcher done (worktree removed; branch preserved)."
"uuid:59bd1489-e2bb-410d-b280-63c48f69bb18","77eb5960-340a-4f5e-b26b-5d4fecb4a224.jsonl","tool-result","2026-07-30 10:38:59","07/30/2026 08:43:08","yes","2026-08-21","yes","^Watcher started\.","2026-07-30 10:38:59  fix-wt-agent-git-guard-scope  Watcher started. PID=36992 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-agent-git-guard-scope Branch=fix/wt-agent-git-guard-scope Timeout=300s"
"uuid:59bd1489-e2bb-410d-b280-63c48f69bb18","77eb5960-340a-4f5e-b26b-5d4fecb4a224.jsonl","tool-result","2026-07-30 10:41:48","07/30/2026 08:43:08","yes","2026-08-21","yes","^Watcher started\.","2026-07-30 10:41:48  fix-wt-agent-git-guard-scope  Watcher started. PID=36252 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-agent-git-guard-scope Branch=fix/wt-agent-git-guard-scope Timeout=120s"
"uuid:2c198683-6baf-493e-b6b1-300684ea3d56","77eb5960-340a-4f5e-b26b-5d4fecb4a224.jsonl","tool-result","2026-07-30 10:44:00","07/30/2026 08:45:24","yes","2026-08-21","yes","^Watcher done \(","2026-07-30 10:44:00  fix-wt-agent-git-guard-scope  Watcher done (worktree preserved)."
"uuid:d4d1b5c7-bc8e-464b-9214-0eda86c15f4e","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","tool-result","2026-07-29 21:00:52","07/29/2026 19:02:28","yes","2026-08-21","yes","^Watcher started\.","2026-07-29 21:00:52  hotkey-shortcut-warnings  Watcher started. PID=12152 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\hotkey-shortcut-warnings Branch=feature/wt-hotkey-shortcut-warnings Timeout=300s"
"uuid:d4d1b5c7-bc8e-464b-9214-0eda86c15f4e","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","tool-result","2026-07-29 21:01:01","07/29/2026 19:02:28","yes","2026-08-21","yes","^Watcher done \(","2026-07-29 21:01:01  hotkey-shortcut-warnings  Watcher done (worktree + branch removed)."
"uuid:d4d1b5c7-bc8e-464b-9214-0eda86c15f4e","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","tool-result","2026-07-29 21:01:04","07/29/2026 19:02:28","yes","2026-08-21","yes","^Watcher started\.","2026-07-29 21:01:04  shortcut-warnings-stage2  Watcher started. PID=32708 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\shortcut-warnings-stage2 Branch=feature/wt-hotkey-shortcut-warnings-stage2 Timeout=300s"
"uuid:b86c652d-aeb6-401a-ae9c-3ce750b8044f","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","tool-result","2026-07-29 21:06:05","07/29/2026 19:07:42","yes","2026-08-21","yes","^Could not remove worktree because the folder is still locked:","2026-07-29 21:06:05  shortcut-warnings-stage2  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\shortcut-warnings-stage2"
"uuid:b86c652d-aeb6-401a-ae9c-3ce750b8044f","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","tool-result","2026-07-29 21:06:05","07/29/2026 19:07:42","yes","2026-08-21","yes","^Watcher done \(","2026-07-29 21:06:05  shortcut-warnings-stage2  Watcher done (worktree preserved)."
"uuid:ba2579ff-9e9e-495d-a612-6c3df7af3a14","9f22b0f1-9222-443a-91e9-b40d208b6648.jsonl","human-paste","2026-08-03 17:17:39","08/10/2026 14:27:00","yes","2026-08-21","yes","^Watcher started\.","2026-08-03 17:17:39  wt-050-known-shortcut-marker-followups  Watcher started. PID=18408 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-050-known-shortcut-marker-followups Branch=fix/wt-050-known-shortcut-marker-followups Timeout=300s"
"uuid:ba2579ff-9e9e-495d-a612-6c3df7af3a14","9f22b0f1-9222-443a-91e9-b40d208b6648.jsonl","human-paste","2026-08-03 17:22:40","08/10/2026 14:27:00","yes","2026-08-21","yes","^Could not remove worktree because the folder is still locked:","2026-08-03 17:22:40  wt-050-known-shortcut-marker-followups  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-050-known-shortcut-marker-followups"
"uuid:ba2579ff-9e9e-495d-a612-6c3df7af3a14","9f22b0f1-9222-443a-91e9-b40d208b6648.jsonl","human-paste","2026-08-03 17:22:40","08/10/2026 14:27:00","yes","2026-08-21","yes","^Watcher done \(","2026-08-03 17:22:40  wt-050-known-shortcut-marker-followups  Watcher done (worktree preserved)."
"uuid:ba2579ff-9e9e-495d-a612-6c3df7af3a14","9f22b0f1-9222-443a-91e9-b40d208b6648.jsonl","human-paste","2026-08-03 19:35:21","08/10/2026 14:27:00","yes","2026-08-21","yes","^Watcher started\.","2026-08-03 19:35:21  wt-050-known-shortcut-marker-followups  Watcher started. PID=12860 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-050-known-shortcut-marker-followups Branch=fix/wt-050-known-shortcut-marker-followups Timeout=300s"
"uuid:e6a73d57-ad24-4c1e-90a3-1f2d5bdedbfd","c948ce81-96de-4d44-b46e-b5710a2e8ca9.jsonl","tool-result","2026-08-03 16:34:25","08/03/2026 14:34:48","yes","2026-08-21","yes","^Watcher started\.","2026-08-03 16:34:25  040-known-shortcuts-mobile-layout  Watcher started. PID=14528 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\040-known-shortcuts-mobile-layout Branch=feature/wt-040-known-shortcuts-mobile-layout Timeout=300s"
"uuid:e6a73d57-ad24-4c1e-90a3-1f2d5bdedbfd","c948ce81-96de-4d44-b46e-b5710a2e8ca9.jsonl","tool-result","2026-08-03 16:34:38","08/03/2026 14:34:48","yes","2026-08-21","yes","^Watcher done \(","2026-08-03 16:34:38  040-known-shortcuts-mobile-layout  Watcher done (worktree + branch removed)."
"uuid:a37208e8-1832-4989-8d5e-1bfd32ecab09","ffb7beaf-f54a-40db-8a9d-5668be866de1.jsonl","tool-result","2026-07-25 14:10:19","07/25/2026 12:32:22","no","2026-08-21","yes","^Watcher started\.","2026-07-25 14:10:19  verify-worktree-hook-fix  Watcher started. PID=15196 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\verify-worktree-hook-fix Branch=fix/wt-worktree-hook-exec-form Timeout=300s"
"uuid:a37208e8-1832-4989-8d5e-1bfd32ecab09","ffb7beaf-f54a-40db-8a9d-5668be866de1.jsonl","tool-result","2026-07-25 14:10:26","07/25/2026 12:32:22","no","2026-08-21","yes","^Watcher done \(","2026-07-25 14:10:26  verify-worktree-hook-fix  Watcher done (worktree + branch removed)."
"uuid:a37208e8-1832-4989-8d5e-1bfd32ecab09","ffb7beaf-f54a-40db-8a9d-5668be866de1.jsonl","tool-result","2026-07-25 14:30:54","07/25/2026 12:32:22","no","2026-08-21","yes","^Watcher started\.","2026-07-25 14:30:54  hotkey-ui-plan  Watcher started. PID=13500 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\hotkey-ui-plan Branch=feature/wt-hotkey-ui-plan Timeout=300s"
