"Key","Session","Matched"
"uuid:947b32c6-98ae-44ca-bc93-48c8f9d779f3","1b89794d-2747-4c7b-a284-2c5e78902242.jsonl","removing worktree"
"uuid:a041f5d8-da71-401a-b51a-8a26a655f8f9","23eb2980-f0b7-4596-8e48-64414a9081d3.jsonl","removing worktree"
"uuid:dd4bf6a4-4eb7-4664-8def-cdc70981a046","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","removing worktree"
"uuid:491c64f5-796b-4939-81e6-4517fe2eda9d","31b846b7-8943-44b5-be99-c8d0ac7d24da.jsonl","removing worktree"
"uuid:f540ea54-297a-4f40-b3a7-cc4bcd14baac","31b846b7-8943-44b5-be99-c8d0ac7d24da.jsonl","removing worktree"
"uuid:ce22f4f3-395b-4b62-b78d-af6c7a8faafc","42a7f14b-e626-40a4-be8e-e6b80bd421fb.jsonl","cleanup popup"
"uuid:be63a5db-3c02-47aa-adba-5345e0f817a0","42a7f14b-e626-40a4-be8e-e6b80bd421fb.jsonl","cleanup popup"
"uuid:aff5e971-7115-4b06-974c-742dc61c6e61","42a7f14b-e626-40a4-be8e-e6b80bd421fb.jsonl","cleanup popup"
"uuid:bfe02528-e02d-4395-87c2-e95ef5d81027","42a7f14b-e626-40a4-be8e-e6b80bd421fb.jsonl","cleanup popup"
"uuid:665e1b7d-b7a1-47f3-bed8-66ea00242574","42a7f14b-e626-40a4-be8e-e6b80bd421fb.jsonl","cleanup popup"
"uuid:5808c707-0a13-415a-b740-dd3f6c736f61","42a7f14b-e626-40a4-be8e-e6b80bd421fb.jsonl","cleanup popup"
"uuid:bd6eebf9-46b6-44d2-95f4-4804fb479ec6","42a7f14b-e626-40a4-be8e-e6b80bd421fb.jsonl","worktree removed"
"uuid:df246aca-b36e-4ce4-82bc-6e8b883cf67f","42a7f14b-e626-40a4-be8e-e6b80bd421fb.jsonl","worktree removed"
"msg:msg_011CdvRPMcH6ZjN1JFLt7aJM","42a7f14b-e626-40a4-be8e-e6b80bd421fb.jsonl","worktree removed"
"uuid:744a50ae-ef94-47f3-8284-789181f4151d","52ff6008-8aa2-44c5-8673-6dab4b6e4b9d.jsonl","removing worktree"
"uuid:59bd1489-e2bb-410d-b280-63c48f69bb18","77eb5960-340a-4f5e-b26b-5d4fecb4a224.jsonl","worktree removed"
"uuid:2c198683-6baf-493e-b6b1-300684ea3d56","77eb5960-340a-4f5e-b26b-5d4fecb4a224.jsonl","watcher done"
"uuid:b866861d-2d01-43a9-ad10-40a55c65d768","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","removing worktree"
"uuid:23734cf1-3094-4e6d-8199-ce0d8e95f94d","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","removing worktree"
"msg:msg_011CdWs6DzMLnEyc4RPTBKPs","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","removing worktree"
"uuid:d4d1b5c7-bc8e-464b-9214-0eda86c15f4e","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","watcher done"
"uuid:b86c652d-aeb6-401a-ae9c-3ce750b8044f","9014aa28-4bed-4020-959b-c7ab17a44722.jsonl","watcher done"
"msg:msg_011CdbrvLDPs4Mqb6eDqR7S6","940f9e03-411f-4270-a092-e99c062bf446.jsonl","worktree removed"
"uuid:26a3672a-2b20-4066-a672-957f3dca19a6","9822cc74-8d6d-4791-92c6-7d0cf07a31b7.jsonl","removing worktree"
"uuid:ba2579ff-9e9e-495d-a612-6c3df7af3a14","9f22b0f1-9222-443a-91e9-b40d208b6648.jsonl","watcher done"
"uuid:8c5414b6-f255-45b5-a9c9-8f0b514ab69a","9f22b0f1-9222-443a-91e9-b40d208b6648.jsonl","cleanup blocked"
"uuid:a1357af5-9657-453c-8535-6e61b5bde7a8","9f22b0f1-9222-443a-91e9-b40d208b6648.jsonl","cleanup popup"
"uuid:e6a73d57-ad24-4c1e-90a3-1f2d5bdedbfd","c948ce81-96de-4d44-b46e-b5710a2e8ca9.jsonl","watcher done"
"uuid:fd9b3148-1fc9-43c5-8af7-f3c7f48da09b","d4a7cdfd-90f2-43f4-b2db-1201e503a203.jsonl","worktree removed"
"uuid:e5dc6cc5-702e-41ef-8183-fe4e1662a1f9","d4a7cdfd-90f2-43f4-b2db-1201e503a203.jsonl","worktree removed"
"uuid:46286863-653a-4f4d-b74b-72e4986aac8f","d4a7cdfd-90f2-43f4-b2db-1201e503a203.jsonl","worktree removed"
"uuid:81dc6029-ed87-4fac-8dc4-35a016e6be01","eed1b447-b8b9-458a-a731-fb5d64354649.jsonl","worktree removed"
"msg:msg_011CdgVRsjyR2RrcPzM2m1rE","fe734f6c-b7f8-4b6e-a011-54c5772b9b69.jsonl","cleanup blocked"
"uuid:a9c60550-a378-4d7b-8ea6-7fda1aa7bcf0","dea2d525-65ec-42f5-afa9-08bacee813bd.jsonl","removing worktree"
"uuid:e79647a6-9517-44c9-b654-10930b831760","770a714b-0086-4aa9-ac4e-f8ce5b5b1139.jsonl","branch preserved"
"uuid:c356da17-7e1b-4028-9657-90e8a6f56415","770a714b-0086-4aa9-ac4e-f8ce5b5b1139.jsonl","worktree removed"
"uuid:97e3edac-783f-4c12-a414-241341f57f03","770a714b-0086-4aa9-ac4e-f8ce5b5b1139.jsonl","worktree removed"
"msg:msg_011Cdxq9caMX8cSu31DTCs7J","770a714b-0086-4aa9-ac4e-f8ce5b5b1139.jsonl","worktree removed"
"uuid:d9e1afdf-b6de-4844-a3cd-0dfe46ad8064","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:8627bbea-6301-492d-af0b-eb7224067cd4","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:3907af35-bdca-4a7b-bac7-c3a03ebe251b","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:731a0ff3-df6a-4433-be0b-7152a4f966a2","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:72d966ff-d000-46ee-9a86-562290e1730d","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:531db7c2-de18-4ced-a12c-d59ba2960eb5","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:f984ac84-71fa-402b-b2b6-085efdbdf79a","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:f86c9d33-cb92-4b40-823f-082c47a1325f","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:d2a08d47-74dc-4a9a-9c54-ab7c32225ea5","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:4424777c-5f6c-4a8a-97dd-44c3749b924f","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:45309ca4-8f00-4a1a-a136-1a51dc89cda9","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"uuid:8c8c2a5b-620e-465e-8156-87b6625b8c94","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:849ac38c-d98a-4ab4-a137-7dcf0d1bdb57","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:efaba429-174c-4c3d-b258-f148a177fd76","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:f8714795-15e2-40a0-ba5d-9f75dc8be031","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:4e234408-d658-410d-923d-86ae1acf09aa","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:3931faca-7010-4e9e-8bf9-119f62e45866","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup popup"
"msg:msg_011CdwajVgK2WtQTwaJeumdz","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","worktree removed"
"uuid:5271b68c-7f3a-459f-bebd-76ce9432b1aa","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup blocked"
"uuid:dde310fd-4920-4491-a50e-7858094f1fb0","86ce271a-b645-4206-aa09-4cd71758cdd3.jsonl","cleanup blocked"
