"EventStampLocal","EventStampUtc","Worktree","Matched","Line"
"2026-07-26 21:40:30","2026-07-26 19:40:30","worktree-base-ref","^Watcher started\.","2026-07-26 21:40:30  worktree-base-ref  Watcher started. PID=30764 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\worktree-base-ref Branch=feature/wt-worktree-base-ref Timeout=300s"
"2026-07-26 21:40:44","2026-07-26 19:40:44","worktree-base-ref","^Watcher done \(","2026-07-26 21:40:44  worktree-base-ref  Watcher done (worktree + branch removed)."
"2026-07-27 09:58:22","2026-07-27 07:58:22","skill-dryrun","^Watcher started\.","2026-07-27 09:58:22  skill-dryrun  Watcher started. PID=5836 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\skill-dryrun Branch=fix/wt-downloads-timeprovider Timeout=300s"
"2026-07-27 10:03:22","2026-07-27 08:03:22","skill-dryrun","^Could not remove worktree because the folder is still locked:","2026-07-27 10:03:22  skill-dryrun  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\skill-dryrun"
"2026-07-27 10:03:22","2026-07-27 08:03:22","skill-dryrun","^Watcher done \(","2026-07-27 10:03:22  skill-dryrun  Watcher done (worktree preserved)."
"2026-07-27 10:47:26","2026-07-27 08:47:26","plain-english","^Watcher started\.","2026-07-27 10:47:26  plain-english  Watcher started. PID=10440 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\plain-english Branch=docs/wt-plain-english Timeout=300s"
"2026-07-27 10:47:27","2026-07-27 08:47:27","skill-dryrun","^Watcher started\.","2026-07-27 10:47:27  skill-dryrun  Watcher started. PID=13376 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\skill-dryrun Branch=fix/wt-downloads-timeprovider Timeout=300s"
"2026-07-27 10:47:33","2026-07-27 08:47:33","plain-english","^Watcher done \(","2026-07-27 10:47:33  plain-english  Watcher done (worktree + branch removed)."
"2026-07-27 10:47:35","2026-07-27 08:47:35","skill-dryrun","^Watcher done \(","2026-07-27 10:47:35  skill-dryrun  Watcher done (worktree + branch removed)."
"2026-07-27 14:07:43","2026-07-27 12:07:43","plan-verification","^Watcher started\.","2026-07-27 14:07:43  plan-verification  Watcher started. PID=1116 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\plan-verification Branch=docs/wt-plan-verification Timeout=300s"
"2026-07-27 14:07:44","2026-07-27 12:07:44","retire-dead-skill-refs","^Watcher started\.","2026-07-27 14:07:44  retire-dead-skill-refs  Watcher started. PID=6656 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\retire-dead-skill-refs Branch=fix/wt-retire-dead-skill-refs Timeout=300s"
"2026-07-27 14:07:49","2026-07-27 12:07:49","retire-dead-skill-refs","^Watcher done \(","2026-07-27 14:07:49  retire-dead-skill-refs  Watcher done (worktree + branch removed)."
"2026-07-27 14:07:49","2026-07-27 12:07:49","plan-verification","^Watcher done \(","2026-07-27 14:07:49  plan-verification  Watcher done (worktree + branch removed)."
"2026-07-27 22:13:05","2026-07-27 20:13:05","plan-first-rules","^Worktree was preserved \(not removed\):","2026-07-27 22:13:05  plan-first-rules  Worktree was preserved (not removed): branch 'docs/wt-plan-first-rules' is not merged into main"
"2026-07-29 10:55:28","2026-07-29 08:55:28","chore-wt-034-ui-vocabulary","^Watcher started\.","2026-07-29 10:55:28  chore-wt-034-ui-vocabulary  Watcher started. PID=15900 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\chore-wt-034-ui-vocabulary Branch=chore/wt-034-ui-vocabulary Timeout=300s"
"2026-07-29 10:55:29","2026-07-29 08:55:29","plan-first-rules","^Watcher started\.","2026-07-29 10:55:29  plan-first-rules  Watcher started. PID=22772 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\plan-first-rules Branch=docs/wt-plan-first-rules Timeout=300s"
"2026-07-29 10:55:37","2026-07-29 08:55:37","chore-wt-034-ui-vocabulary","^Watcher done \(","2026-07-29 10:55:37  chore-wt-034-ui-vocabulary  Watcher done (worktree + branch removed)."
"2026-07-29 10:55:37","2026-07-29 08:55:37","plan-first-rules","^Watcher done \(","2026-07-29 10:55:37  plan-first-rules  Watcher done (worktree + branch removed)."
"2026-07-29 14:21:11","2026-07-29 12:21:11","fix-wt-worktree-plans-symlink","^Watcher started\.","2026-07-29 14:21:11  fix-wt-worktree-plans-symlink  Watcher started. PID=2196 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-worktree-plans-symlink Branch=fix/wt-worktree-plans-symlink Timeout=300s"
"2026-07-29 14:21:11","2026-07-29 12:21:11","hotkey-shortcut-warnings","^Watcher started\.","2026-07-29 14:21:11  hotkey-shortcut-warnings  Watcher started. PID=18832 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\hotkey-shortcut-warnings Branch=feature/wt-hotkey-shortcut-warnings Timeout=300s"
"2026-07-29 14:21:15","2026-07-29 12:21:15","hotkey-shortcut-warnings","^Watcher done \(","2026-07-29 14:21:15  hotkey-shortcut-warnings  Watcher done (worktree + branch removed)."
