"Key","Session","Timestamp","Type","Matched","Line"
"msg:msg_011CdbcHRfeRsBKZwJGGqUcp","0940cbdb-5733-475c-9445-fcbe60cee446.jsonl","08/01/2026 07:09:28","assistant","command-line","cd C:\Dev\segocom-github\AHKFlowApp\docs\superpowers"
"msg:msg_011Cdbcankdb4L2LWYPte6dN","0940cbdb-5733-475c-9445-fcbe60cee446.jsonl","08/01/2026 07:13:23","assistant","command-line","cd C:\Dev\segocom-github\AHKFlowApp\docs\superpowers"
"msg:msg_011Cdbq4zJM3fZ2ZNPEzUs5X","0940cbdb-5733-475c-9445-fcbe60cee446.jsonl","08/01/2026 09:57:11","assistant","command-line","cd C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\no-auth-frontend-profile"
"msg:msg_011Cdbu7qzaRBdgKAwWU7zsx","0940cbdb-5733-475c-9445-fcbe60cee446.jsonl","08/01/2026 10:50:19","assistant","command-line","cd C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\no-auth-frontend-profile"
"msg:msg_011Cdc4gZS8zVnEsCGAqnUEw","0940cbdb-5733-475c-9445-fcbe60cee446.jsonl","08/01/2026 12:55:43","assistant","command-line","cd C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\no-auth-frontend-profile"
"msg:msg_011Cdc5AG6snsn7zbmbSRRTk","0940cbdb-5733-475c-9445-fcbe60cee446.jsonl","08/01/2026 13:02:04","assistant","command-line","cd C:\Dev\segocom-github\AHKFlowApp"
"msg:msg_011Cdc5uJpHnCnytweXfTGEF","0940cbdb-5733-475c-9445-fcbe60cee446.jsonl","08/01/2026 13:11:51","assistant","command-line","cd C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\no-auth-frontend-profile"
"msg:msg_011Cdc77arPy2UqjyMDucwMT","0940cbdb-5733-475c-9445-fcbe60cee446.jsonl","08/01/2026 13:27:36","assistant","command-line","cd C:\Dev\segocom-github\AHKFlowApp"
"msg:msg_011CdmN1yYWmWwE9xNdW6nq9","244a95ed-767e-40f0-9d8f-10fd9598d962.jsonl","08/06/2026 10:48:22","assistant","command-line","git -C $HOME\.claude add project-settings"
"msg:msg_011CdmN1yYWmWwE9xNdW6nq9","244a95ed-767e-40f0-9d8f-10fd9598d962.jsonl","08/06/2026 10:48:22","assistant","command-line","git -C $HOME\.claude commit -m ""chore: track AHKFlowApp local settings via symlink"""
"msg:msg_011CdoyuV6GaGpRGZizesppQ","29f49f1e-1c40-4587-9aa5-27a9e5ae06a4.jsonl","08/07/2026 20:00:16","assistant","command-line","git -C .claude\worktrees\backlog-pending-folder show e2139ee8 --stat"
"msg:msg_011CdoyuV6GaGpRGZizesppQ","29f49f1e-1c40-4587-9aa5-27a9e5ae06a4.jsonl","08/07/2026 20:00:16","assistant","command-line","git -C .claude\worktrees\backlog-pending-folder show e2139ee8"
"msg:msg_011CdLgFrXikdWzrjBMQDqh6","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/24/2026 09:52:45","assistant","command-line","cd docs/superpowers"
"msg:msg_011CdSfj2DJKcy9qy7YKZzPk","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:49:17","assistant","command-line","cd /c/Dev/segocom-github"
"msg:msg_011CdSfj2DJKcy9qy7YKZzPk","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:49:17","assistant","command-line","cd AHKFlowApp-plans"
"msg:msg_011CdSfj2DJKcy9qy7YKZzPk","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:49:17","assistant","command-line","cd /c/Dev/segocom-github/AHKFlowApp"
"msg:msg_011CdSfj2DJKcy9qy7YKZzPk","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:49:17","assistant","command-line","cd /c/Dev/segocom-github/AHKFlowApp/docs"
"msg:msg_011CdSfj2DJKcy9qy7YKZzPk","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:49:17","assistant","command-line","cd AHKFlowApp-purge"
"msg:msg_011CdSftk5xjE5wcBTtyLy5D","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:51:43","assistant","command-line","cd /c/Dev/segocom-github"
"msg:msg_011CdSftk5xjE5wcBTtyLy5D","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:51:43","assistant","command-line","cd AHKFlowApp-plans"
"msg:msg_011CdSftk5xjE5wcBTtyLy5D","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:51:43","assistant","command-line","cd /c/Dev/segocom-github/AHKFlowApp"
"msg:msg_011CdSftk5xjE5wcBTtyLy5D","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:51:43","assistant","command-line","cd docs"
"msg:msg_011CdSftk5xjE5wcBTtyLy5D","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:51:43","assistant","command-line","cd AHKFlowApp-purge"
"msg:msg_011CdSgHwBMDzkaZhuWbQsAg","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 13:57:39","assistant","command-line","cd /c/Dev/segocom-github/AHKFlowApp"
"msg:msg_011CdSgfVz9JYQHTmTAe9Btv","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 14:01:41","assistant","command-line","cd /c/Dev/segocom-github/AHKFlowApp"
"msg:msg_011CdSgfVz9JYQHTmTAe9Btv","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 14:01:41","assistant","command-line","cd /c/Dev/segocom-github"
"msg:msg_011CdSgfVz9JYQHTmTAe9Btv","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 14:01:41","assistant","command-line","cd AHKFlowApp-plans"
"msg:msg_011CdShdZeE1mk2UghyntWoB","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 14:14:42","assistant","command-line","cd /c/Dev/segocom-github/AHKFlowApp"
"msg:msg_011CdShdZeE1mk2UghyntWoB","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 14:14:42","assistant","command-line","git switch -c chore/move-plans-private"
"msg:msg_011CdSiHR662gqiRJjP2F5MQ","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 14:22:58","assistant","command-line","cd /c/Dev/segocom-github"
"msg:msg_011CdSiHR662gqiRJjP2F5MQ","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 14:22:58","assistant","command-line","cd AHKFlowApp-plans"
"msg:msg_011CdSigsqZDECbT6ABcLTVF","303c598f-259b-44b4-bc4c-8bc6df638b8c.jsonl","07/27/2026 14:28:31","assistant","command-line","cd /c/Dev/segocom-github/AHKFlowApp"
